Invoice ID,city,customertype,gender,product,itemprice,quantity,total,date,time,payment,customersalary,rating
851-28-6367,Nairobi,Member,Male,Electronic accessories,15.5,10,162.75,3/23/2019,10:55,MPESA,7.75,8
824-88-3614,Nakuru,Normal,Male,Health and beauty,34.31,8,288.204,1/25/2019,15:00,MPESA,13.724,5.7
586-25-0848,Nairobi,Normal,Female,Electronic accessories,12.34,7,90.699,3/4/2019,11:19,Credit card,4.319,6.7
895-66-0685,Mombasa,Member,Male,Food and beverages,18.08,3,56.952,3/5/2019,19:46,MPESA,2.712,8
305-14-0245,Mombasa,Member,Female,Home and lifestyle,94.49,8,793.716,3/3/2019,19:00,MPESA,37.796,7.5
732-04-5373,Mombasa,Member,Male,Home and lifestyle,46.47,4,195.174,2/8/2019,10:53,Cash,9.294,7
400-60-7251,Nairobi,Normal,Male,Home and lifestyle,74.07,1,77.7735,2/10/2019,12:50,MPESA,3.7035,9.9
593-65-1552,Nakuru,Normal,Female,Home and lifestyle,69.81,4,293.202,1/28/2019,20:50,Credit card,13.962,5.9
284-34-9626,Mombasa,Normal,Female,Home and lifestyle,77.04,3,242.676,2/11/2019,10:39,Credit card,11.556,7.2
437-58-8131,Mombasa,Normal,Female,Fashion accessories,73.52,2,154.392,1/15/2019,13:41,MPESA,7.352,4.6
286-43-6208,Nakuru,Normal,Female,Food and beverages,87.8,9,829.71,3/16/2019,19:08,Cash,39.51,9.2
641-43-2399,Mombasa,Normal,Male,Home and lifestyle,25.55,4,107.31,1/26/2019,20:23,MPESA,5.11,5.7
831-07-6050,Nairobi,Normal,Male,Electronic accessories,32.71,5,171.7275,3/19/2019,11:30,Credit card,8.1775,9.9
556-86-3144,Nakuru,Member,Female,Fashion accessories,74.29,1,78.0045,1/13/2019,19:30,Cash,3.7145,5
848-24-9445,Nakuru,Member,Male,Health and beauty,43.7,2,91.77,3/26/2019,18:03,Cash,4.37,4.9
856-22-8149,Nairobi,Normal,Female,Home and lifestyle,25.29,1,26.5545,3/23/2019,10:13,MPESA,1.2645,6.1
699-01-4164,Nakuru,Normal,Male,Health and beauty,41.5,4,174.3,3/12/2019,19:58,Credit card,8.3,8.2
420-11-4919,Nakuru,Member,Female,Food and beverages,71.39,5,374.7975,2/17/2019,19:57,Credit card,17.8475,5.5
606-80-4905,Nakuru,Member,Female,Electronic accessories,19.15,6,120.645,1/29/2019,10:01,Credit card,5.745,6.8
542-41-0513,Mombasa,Member,Female,Electronic accessories,57.49,4,241.458,3/15/2019,11:57,Cash,11.498,6.6
426-39-2418,Nakuru,Normal,Male,Electronic accessories,61.41,7,451.3635,1/14/2019,10:02,Cash,21.4935,9.8
875-46-5808,Mombasa,Member,Male,Health and beauty,25.9,10,271.95,2/6/2019,14:51,MPESA,12.95,8.7
394-43-4238,Mombasa,Member,Female,Home and lifestyle,17.77,5,93.2925,2/15/2019,12:42,Credit card,4.4425,5.4
749-24-1565,Nairobi,Normal,Female,Health and beauty,23.03,9,217.6335,1/3/2019,12:02,MPESA,10.3635,7.9
672-51-8681,Nakuru,Member,Female,Health and beauty,66.65,9,629.8425,1/4/2019,18:19,Credit card,29.9925,9.7
263-87-5680,Nakuru,Member,Female,Health and beauty,28.53,10,299.565,3/18/2019,17:38,MPESA,14.265,7.8
573-58-9734,Mombasa,Normal,Female,Health and beauty,30.37,3,95.6655,3/28/2019,13:41,MPESA,4.5555,5.1
817-69-8206,Mombasa,Normal,Female,Health and beauty,99.73,9,942.4485,3/2/2019,19:42,Credit card,44.8785,6.5
888-02-0338,Nairobi,Normal,Male,Electronic accessories,26.23,9,247.8735,1/25/2019,20:24,MPESA,11.8035,5.9
677-11-0152,Nakuru,Normal,Female,Food and beverages,93.26,9,881.307,1/16/2019,18:08,Cash,41.967,8.8
142-63-6033,Mombasa,Normal,Male,Home and lifestyle,92.36,5,484.89,3/20/2019,19:17,MPESA,23.09,4.9
656-16-1063,Mombasa,,Male,Electronic accessories,46.42,3,146.223,1/4/2019,13:24,Credit card,6.963,4.4
891-58-8335,Mombasa,Member,Female,Electronic accessories,29.61,7,217.6335,3/11/2019,15:53,Cash,10.3635,6.5
802-43-8934,Nairobi,Normal,Male,Home and lifestyle,18.28,1,19.194,3/22/2019,15:05,Credit card,0.914,8.3
560-30-5617,Mombasa,Normal,Female,Electronic accessories,24.77,5,130.0425,3/24/2019,18:27,Cash,6.1925,8.5
319-74-2561,Nairobi,Member,Female,Electronic accessories,94.64,3,298.116,2/21/2019,16:55,Cash,14.196,5.5
549-03-9315,Mombasa,Normal,Male,Fashion accessories,94.87,8,796.908,2/12/2019,12:58,MPESA,37.948,8.7
790-29-1172,Mombasa,Normal,Female,Health and beauty,57.34,3,180.621,3/10/2019,18:59,Credit card,8.601,7.9
239-36-3640,Mombasa,Normal,Male,Electronic accessories,45.35,6,285.705,1/31/2019,13:44,MPESA,13.605,6.1
468-01-2051,Mombasa,Normal,Male,Food and beverages,62.08,7,456.288,3/6/2019,13:46,MPESA,21.728,5.4
389-25-3394,Nakuru,Normal,Male,Electronic accessories,11.81,5,62.0025,2/17/2019,18:06,Cash,2.9525,9.4
279-62-1445,Nakuru,Member,Female,Fashion accessories,12.54,1,13.167,2/21/2019,12:38,Cash,0.627,8.2
213-72-6612,Nairobi,Normal,Male,Food and beverages,43.25,2,90.825,3/20/2019,15:56,Cash,4.325,6.2
746-68-6593,Nakuru,Member,Female,Electronic accessories,87.16,2,183.036,1/11/2019,14:29,Credit card,8.716,9.7
836-82-5858,Mombasa,Member,Male,Health and beauty,69.37,9,655.5465,1/26/2019,19:14,MPESA,31.2165,4
