Number of Deposits,Number of Withdrawals,"Paid Previous Loan (0-No, 1-Yes)",Salary,Age,Account Balance,Loan Amount Requested,Number of Late Payments,Credit Score (0-100),Years at Current Job,Loan Approval
13,3,1,89811,40,178046,134045,1,80,8,Qualify for Loan
2,11,0,33291,20,32003,76851,8,59,0,Not Qualify for Loan
3,5,0,28792,40,35585,60682,2,28,0,Not Qualify for Loan
16,5,1,174869,35,194790,84560,1,74,6,Qualify for Loan
8,7,1,190580,52,53051,164692,0,73,7,Qualify for Loan
2,12,0,52641,21,44976,204668,5,45,0,Not Qualify for Loan
8,5,1,137883,53,103268,98901,0,94,6,Qualify for Loan
6,17,1,19885,31,778,95087,7,40,4,Not Qualify for Loan
19,0,1,73039,48,133691,108606,0,79,10,Qualify for Loan
0,16,0,20756,31,36378,165327,6,27,5,Not Qualify for Loan
12,6,1,132578,52,90390,73711,0,79,10,Qualify for Loan
13,4,1,78402,43,140453,125715,1,81,7,Qualify for Loan
5,16,0,44707,37,16001,227576,8,56,3,Not Qualify for Loan
3,5,0,22342,26,48770,108623,3,29,2,Not Qualify for Loan
19,0,1,136038,45,53828,166656,1,99,11,Qualify for Loan
16,3,1,130272,28,73328,141412,1,89,9,Qualify for Loan
1,15,0,49666,23,33561,154714,4,24,3,Not Qualify for Loan
2,6,0,12581,25,2763,122910,2,59,3,Not Qualify for Loan
15,0,1,95147,29,230738,88787,1,72,11,Qualify for Loan
10,5,1,199841,47,204222,54853,1,74,9,Qualify for Loan
14,0,1,108450,33,236141,161888,0,99,5,Qualify for Loan
8,15,0,24025,38,28706,206572,6,34,0,Not Qualify for Loan
18,5,1,91663,53,141906,99811,1,96,5,Qualify for Loan
8,0,1,168376,51,242445,187848,1,82,10,Qualify for Loan
8,7,1,117794,50,174447,170029,0,76,2,Qualify for Loan
7,17,1,52918,20,39298,110219,7,44,0,Not Qualify for Loan
1,5,1,25577,30,22473,216481,3,36,1,Not Qualify for Loan
9,5,1,46859,34,224379,160986,0,85,2,Qualify for Loan
11,1,1,122152,37,174049,76734,1,84,7,Qualify for Loan
9,3,1,77487,52,214433,71223,0,78,14,Qualify for Loan
9,4,1,199116,54,175588,65997,1,83,9,Qualify for Loan
13,7,1,146308,44,156081,139045,0,85,2,Qualify for Loan
11,3,1,147971,46,150102,109189,0,81,9,Qualify for Loan
11,5,1,178051,38,223672,173257,0,99,3,Qualify for Loan
7,18,1,14769,42,14211,118791,4,48,2,Not Qualify for Loan
14,3,1,57159,39,156530,130077,0,73,3,Qualify for Loan
11,4,1,100279,29,154263,50126,1,86,13,Qualify for Loan
0,14,1,56175,41,49711,50056,9,64,4,Not Qualify for Loan
5,16,1,13627,39,48925,204013,4,47,0,Not Qualify for Loan
13,6,1,89298,46,94942,53453,1,93,9,Qualify for Loan
18,0,1,162813,48,52454,70878,0,80,10,Qualify for Loan
2,16,0,41551,44,11394,99092,4,26,4,Not Qualify for Loan
14,7,1,99182,45,137163,89310,0,73,12,Qualify for Loan
7,6,0,19135,41,27236,111050,2,48,2,Not Qualify for Loan
16,3,1,182202,45,287027,168324,0,85,10,Qualify for Loan
14,2,1,138723,53,60789,147720,0,98,6,Qualify for Loan
8,7,1,104307,49,96733,178202,0,72,10,Qualify for Loan
2,7,0,14986,30,1481,86408,5,50,3,Not Qualify for Loan
7,5,0,22874,36,32711,35539,7,59,3,Not Qualify for Loan
9,15,0,38890,34,30949,183619,4,60,5,Not Qualify for Loan
3,13,1,46945,21,6476,212828,7,34,3,Not Qualify for Loan
0,15,0,49384,37,47254,51918,7,61,2,Not Qualify for Loan
17,5,1,139299,38,213678,61534,1,83,8,Qualify for Loan
8,6,1,75842,38,126709,145985,0,70,7,Qualify for Loan
14,1,1,189453,45,217527,142263,0,76,4,Qualify for Loan
9,0,1,194165,50,153746,86631,1,84,7,Qualify for Loan
9,0,1,64262,44,243283,178583,1,98,7,Qualify for Loan
0,8,0,40926,30,23993,205458,4,35,4,Not Qualify for Loan
11,5,1,157718,49,282448,150158,1,92,4,Qualify for Loan
17,7,1,116325,30,194071,105318,0,95,12,Qualify for Loan
6,17,0,33411,21,46766,108797,5,41,2,Not Qualify for Loan
8,6,1,152056,41,139081,100961,1,91,7,Qualify for Loan
16,3,1,169749,46,99268,104615,1,80,14,Qualify for Loan
10,4,1,165995,51,119626,56960,0,86,11,Qualify for Loan
6,9,1,25592,40,35596,195396,4,38,0,Not Qualify for Loan
11,7,1,130306,53,156984,52204,1,71,13,Qualify for Loan
1,8,0,22201,38,17778,206313,7,31,2,Not Qualify for Loan
17,3,1,189092,52,250191,69710,0,90,9,Qualify for Loan
9,12,0,33705,24,7909,133892,7,59,4,Not Qualify for Loan
12,0,1,153499,45,99393,97406,1,88,4,Qualify for Loan
11,6,1,154130,27,213059,196922,0,99,12,Qualify for Loan
14,0,1,61281,38,98511,172115,1,75,12,Qualify for Loan
13,1,1,76395,37,179695,84620,0,90,7,Qualify for Loan
12,0,1,150169,54,86059,153409,1,75,10,Qualify for Loan
18,4,1,82534,42,199859,176209,1,82,14,Qualify for Loan
18,7,1,70908,42,69610,113185,1,92,12,Qualify for Loan
2,13,1,47291,23,31331,177281,8,32,2,Not Qualify for Loan
9,2,1,78870,47,173749,173765,1,95,7,Qualify for Loan
8,14,1,49213,26,14042,186570,3,60,4,Not Qualify for Loan
10,6,1,123122,32,277881,130910,0,98,2,Qualify for Loan
19,3,1,138723,52,283893,107009,0,74,5,Qualify for Loan
0,19,0,54623,43,338,232503,8,40,0,Not Qualify for Loan
19,4,1,158033,50,138869,155186,0,84,10,Qualify for Loan
10,2,1,79974,38,66371,95084,1,86,14,Qualify for Loan
13,7,1,120807,41,109766,193521,1,97,7,Qualify for Loan
12,2,1,181727,50,211147,190431,0,91,13,Qualify for Loan
8,4,1,143196,28,295897,105479,0,79,2,Qualify for Loan
1,16,0,16430,38,13828,72913,3,44,1,Not Qualify for Loan
2,14,0,21303,21,6183,129616,7,43,2,Not Qualify for Loan
1,12,0,14133,27,21754,165044,9,45,1,Not Qualify for Loan
10,4,1,184832,32,136475,111367,1,82,8,Qualify for Loan
16,5,1,57727,27,54358,115108,1,72,11,Qualify for Loan
15,0,1,101813,25,150497,189487,0,86,12,Qualify for Loan
17,4,1,158028,35,82821,66999,0,94,9,Qualify for Loan
8,2,1,153613,51,275361,68354,0,84,5,Qualify for Loan
6,6,0,16548,41,37605,234366,6,29,1,Not Qualify for Loan
12,6,1,96264,45,278488,107545,1,94,6,Qualify for Loan
9,1,1,73866,49,134246,126975,1,91,2,Qualify for Loan
11,2,1,61253,31,229635,138664,0,87,12,Qualify for Loan
0,14,1,38671,27,25364,157734,3,27,2,Not Qualify for Loan
18,4,1,195914,46,51708,184702,1,91,6,Qualify for Loan
5,13,0,35851,35,30527,103402,3,31,2,Not Qualify for Loan
1,12,1,17227,26,36041,118920,3,38,3,Not Qualify for Loan
14,4,1,190023,52,130388,140768,0,73,7,Qualify for Loan
8,11,0,33197,44,3083,190400,9,31,3,Not Qualify for Loan
14,3,1,87377,27,112491,108283,0,97,9,Qualify for Loan
8,8,0,44546,42,12087,184834,6,23,4,Not Qualify for Loan
4,12,0,10301,40,49758,227307,2,40,0,Not Qualify for Loan
7,9,1,37490,27,26723,184351,7,42,1,Not Qualify for Loan
10,1,1,93276,45,234074,139599,1,86,12,Qualify for Loan
15,4,1,156923,33,61390,156752,1,72,3,Qualify for Loan
19,3,1,47967,52,258524,78179,1,98,13,Qualify for Loan
0,10,0,46963,21,29084,70387,2,38,1,Not Qualify for Loan
3,9,0,19067,29,27037,170629,5,26,2,Not Qualify for Loan
19,5,1,91934,44,104098,55486,1,90,6,Qualify for Loan
0,18,0,42265,24,46714,204944,7,57,4,Not Qualify for Loan
8,10,0,55162,35,4432,125257,5,20,0,Not Qualify for Loan
18,2,1,85833,26,82088,153937,1,93,11,Qualify for Loan
1,18,0,23417,23,40757,39692,8,37,1,Not Qualify for Loan
10,2,1,161668,37,206590,74045,0,92,3,Qualify for Loan
11,1,1,47597,46,218298,164650,1,88,3,Qualify for Loan
15,1,1,199741,36,298226,52282,0,92,14,Qualify for Loan
9,15,0,27320,36,43513,216626,9,25,4,Not Qualify for Loan
15,0,1,84547,53,196389,165608,0,87,2,Qualify for Loan
0,14,1,29982,21,1980,209362,9,44,3,Not Qualify for Loan
8,14,0,42082,30,41420,148452,9,59,3,Not Qualify for Loan
13,5,1,136347,44,85488,124441,1,87,13,Qualify for Loan
18,5,1,122409,41,270232,58024,0,86,13,Qualify for Loan
18,2,1,79504,32,63986,111858,0,96,6,Qualify for Loan
19,6,1,42257,29,206044,161715,0,71,10,Qualify for Loan
7,6,0,11342,24,43336,180288,2,30,5,Not Qualify for Loan
1,15,0,25781,21,6949,85393,3,49,2,Not Qualify for Loan
18,1,1,198823,25,155864,180858,1,85,8,Qualify for Loan
1,7,1,17418,42,17761,176295,7,57,5,Not Qualify for Loan
5,16,0,58874,32,9017,98344,4,50,1,Not Qualify for Loan
10,1,1,158696,37,180830,54994,0,90,10,Qualify for Loan
14,4,1,183891,50,113870,59283,1,89,7,Qualify for Loan
0,13,0,33675,21,44535,108542,9,44,3,Not Qualify for Loan
7,11,0,51089,26,45893,131520,4,44,0,Not Qualify for Loan
15,4,1,136334,46,196011,50781,0,98,10,Qualify for Loan
12,5,1,89976,53,53832,84148,0,79,9,Qualify for Loan
5,10,1,21918,28,46617,189007,3,35,0,Not Qualify for Loan
3,6,0,59429,28,42512,199530,3,63,1,Not Qualify for Loan
12,5,1,134457,31,94813,189892,0,78,4,Qualify for Loan
8,2,1,107087,42,84397,108671,0,79,3,Qualify for Loan
15,1,1,180905,49,214044,99733,1,78,14,Qualify for Loan
11,5,1,195989,52,202638,112823,0,76,2,Qualify for Loan
9,1,1,50350,52,118487,198694,1,93,8,Qualify for Loan
1,15,0,27260,25,3812,189096,2,41,4,Not Qualify for Loan
16,6,1,64354,27,78145,136123,1,88,7,Qualify for Loan
19,4,1,101929,36,278590,148864,1,75,3,Qualify for Loan
3,13,1,22905,25,8367,100821,2,29,1,Not Qualify for Loan
14,7,1,198211,54,237210,126125,0,93,8,Qualify for Loan
0,7,0,43396,22,40546,33696,8,46,1,Not Qualify for Loan
0,17,0,14757,37,38356,188768,8,36,3,Not Qualify for Loan
0,16,1,40087,30,32981,99298,9,60,0,Not Qualify for Loan
12,6,1,55563,29,273536,59847,1,93,13,Qualify for Loan
9,4,1,159863,39,206104,94936,0,90,10,Qualify for Loan
1,8,1,11529,42,20095,177226,6,44,2,Not Qualify for Loan
19,1,1,69118,26,131816,63565,0,77,13,Qualify for Loan
6,8,0,44395,43,15996,85778,6,53,2,Not Qualify for Loan
9,16,0,54864,39,36982,49611,9,36,3,Not Qualify for Loan
8,19,0,46081,36,16241,154932,5,60,2,Not Qualify for Loan
4,8,1,58201,24,43363,56201,5,58,1,Not Qualify for Loan
7,7,0,48258,34,28865,167717,5,49,5,Not Qualify for Loan
10,4,1,105794,51,260545,182970,1,75,2,Qualify for Loan
18,4,1,194741,45,269861,190507,0,95,10,Qualify for Loan
3,19,0,32412,42,35517,174228,2,46,2,Not Qualify for Loan
11,4,1,86413,53,231187,57151,0,89,12,Qualify for Loan
9,2,1,74911,48,212893,163453,0,85,5,Qualify for Loan
6,19,1,57135,21,31486,108077,2,36,2,Not Qualify for Loan
1,12,0,21918,35,39110,95428,3,45,3,Not Qualify for Loan
15,3,1,84816,35,281800,141176,1,87,5,Qualify for Loan
7,16,0,53408,42,39129,92368,5,46,0,Not Qualify for Loan
8,17,0,17345,40,24259,121006,3,26,5,Not Qualify for Loan
6,16,0,11207,39,1960,96093,3,31,5,Not Qualify for Loan
8,6,0,21407,35,12722,173996,8,41,3,Not Qualify for Loan
8,1,1,198117,51,225841,97118,1,98,11,Qualify for Loan
18,1,1,161251,27,217340,112493,1,81,3,Qualify for Loan
11,4,1,104435,48,179038,70103,0,98,5,Qualify for Loan
18,5,1,125553,44,220182,132879,1,90,9,Qualify for Loan
13,1,1,171717,43,131835,172232,0,71,13,Qualify for Loan
16,2,1,162746,26,127789,134526,0,73,2,Qualify for Loan
9,7,1,56754,34,19212,93344,4,30,2,Not Qualify for Loan
10,5,1,52226,54,72588,87019,0,95,14,Qualify for Loan
8,6,1,173682,28,83872,60728,0,93,3,Qualify for Loan
10,1,1,49686,54,103363,147543,1,81,11,Qualify for Loan
2,5,0,32433,21,37346,235735,9,47,5,Not Qualify for Loan
19,7,1,174092,52,135956,136988,0,87,9,Qualify for Loan
8,10,0,32180,44,12875,31622,6,61,5,Not Qualify for Loan
9,6,1,66916,29,226037,175932,0,99,7,Qualify for Loan
12,3,1,128340,32,225929,191214,1,73,12,Qualify for Loan
10,5,1,85113,27,124069,186321,0,81,3,Qualify for Loan
15,5,1,149777,49,196400,141751,1,80,13,Qualify for Loan
2,19,0,44393,30,7973,169649,8,37,2,Not Qualify for Loan
12,0,1,42352,37,126449,58556,1,90,12,Qualify for Loan
7,14,0,41401,27,6295,149503,2,45,2,Not Qualify for Loan
1,11,0,28793,27,10717,66191,5,49,0,Not Qualify for Loan
4,10,0,29029,37,31433,73309,6,50,5,Not Qualify for Loan
0,11,1,36399,37,19846,242316,9,20,0,Not Qualify for Loan
7,13,0,23493,33,46907,37531,5,50,3,Not Qualify for Loan
12,2,1,148946,37,149003,92998,0,95,9,Qualify for Loan
9,7,1,79711,43,123340,152974,0,70,10,Qualify for Loan
0,11,0,48333,29,15369,119571,9,39,1,Not Qualify for Loan
15,1,1,51190,33,223824,92070,1,75,7,Qualify for Loan
8,6,1,53861,31,29975,206720,3,49,2,Not Qualify for Loan
9,13,0,41957,26,36412,215194,7,43,3,Not Qualify for Loan
2,16,1,35945,24,32217,38308,7,42,0,Not Qualify for Loan
5,16,0,14757,41,41680,100269,4,51,1,Not Qualify for Loan
18,1,1,55485,27,136188,54748,1,97,11,Qualify for Loan
8,2,1,123820,43,73284,133369,0,83,11,Qualify for Loan
10,6,1,188216,47,286726,187162,1,85,9,Qualify for Loan
13,0,1,158947,38,212624,81055,1,83,14,Qualify for Loan
14,1,1,90861,50,262977,177118,1,79,8,Qualify for Loan
8,3,1,100948,52,214074,76672,1,91,11,Qualify for Loan
14,0,1,86600,27,243555,199369,0,98,12,Qualify for Loan
10,3,1,50965,51,158066,163252,0,83,4,Qualify for Loan
8,7,1,164123,54,93484,132989,0,75,4,Qualify for Loan
18,6,1,47400,27,223714,65151,1,72,5,Qualify for Loan
5,7,1,39257,28,42207,174353,8,47,3,Not Qualify for Loan
9,0,1,172596,33,65048,104912,0,98,12,Qualify for Loan
13,4,1,83527,36,181564,189883,0,86,12,Qualify for Loan
13,3,1,168379,25,289511,151665,1,97,6,Qualify for Loan
14,6,1,112588,31,270094,68743,0,79,14,Qualify for Loan
15,7,1,121264,36,122274,150776,0,75,5,Qualify for Loan
9,2,1,131680,25,251660,151042,0,74,13,Qualify for Loan
7,14,1,18325,22,28495,61750,5,33,0,Not Qualify for Loan
10,6,1,148036,52,217031,166525,1,85,7,Qualify for Loan
11,6,1,94040,54,252440,128356,1,88,4,Qualify for Loan
19,7,1,125530,32,71563,165672,0,98,6,Qualify for Loan
13,1,1,71024,44,120313,177813,0,91,12,Qualify for Loan
12,0,1,190245,26,234099,73989,1,80,9,Qualify for Loan
5,13,0,32063,39,13422,62920,4,40,4,Not Qualify for Loan
7,19,0,19110,31,13605,42115,8,64,3,Not Qualify for Loan
12,0,1,179401,42,96850,104220,0,86,7,Qualify for Loan
13,1,1,157360,33,211983,53191,0,78,2,Qualify for Loan
11,6,1,114601,44,231646,97857,1,82,14,Qualify for Loan
9,3,1,48792,52,289629,118148,1,89,13,Qualify for Loan
8,6,1,47099,47,206503,106492,0,74,13,Qualify for Loan
2,8,1,24924,43,44717,237234,3,57,0,Not Qualify for Loan
10,4,1,137579,29,187541,92101,1,88,5,Qualify for Loan
14,1,1,167556,39,76160,67633,0,92,6,Qualify for Loan
1,12,1,30792,24,43526,157426,3,35,2,Not Qualify for Loan
13,6,1,131736,45,53726,139152,1,95,8,Qualify for Loan
12,4,1,184579,44,133807,165953,1,96,2,Qualify for Loan
2,7,0,14324,23,9111,199182,7,21,3,Not Qualify for Loan
8,7,1,137852,53,188593,68474,0,76,7,Qualify for Loan
18,2,1,65537,38,127576,157522,0,95,9,Qualify for Loan
12,1,1,61689,31,138461,176174,1,74,4,Qualify for Loan
19,4,1,118832,54,277053,128781,1,74,13,Qualify for Loan
6,7,0,54064,35,4555,137450,4,41,5,Not Qualify for Loan
14,3,1,148255,35,275535,108005,0,94,7,Qualify for Loan
16,4,1,82604,41,145074,123869,0,85,14,Qualify for Loan
18,1,1,84738,46,132189,126367,1,98,11,Qualify for Loan
12,2,1,45039,26,162935,60442,0,87,4,Qualify for Loan
17,7,1,147512,44,258443,161472,1,70,13,Qualify for Loan
8,17,0,11363,39,35060,162610,2,31,4,Not Qualify for Loan
3,12,0,17843,22,16456,61367,2,25,0,Not Qualify for Loan
19,0,1,188702,32,299599,177896,0,71,3,Qualify for Loan
3,6,1,48328,40,47299,47073,2,46,5,Not Qualify for Loan
16,2,1,143320,26,75931,144377,0,84,9,Qualify for Loan
0,5,0,54814,23,33919,103155,3,38,2,Not Qualify for Loan
4,16,1,46397,21,35835,68709,4,20,2,Not Qualify for Loan
1,19,0,33625,31,7056,238124,7,26,5,Not Qualify for Loan
3,14,0,21372,21,8996,111994,7,37,4,Not Qualify for Loan
15,6,1,116218,53,124055,122258,0,70,13,Qualify for Loan
19,4,1,140922,31,85931,174168,0,97,7,Qualify for Loan
15,4,1,63247,37,255137,132798,0,93,11,Qualify for Loan
8,4,1,126795,30,288297,185450,1,88,13,Qualify for Loan
8,19,1,46320,38,35010,110201,9,61,0,Not Qualify for Loan
8,5,1,172396,28,216981,69870,0,98,13,Qualify for Loan
2,15,0,59159,43,33243,182872,5,56,4,Not Qualify for Loan
14,0,1,147059,53,160687,137939,1,74,8,Qualify for Loan
18,1,1,107364,53,95028,181878,1,83,9,Qualify for Loan
19,2,1,164046,52,82097,192038,0,91,4,Qualify for Loan
9,5,0,25206,28,1378,97055,3,33,2,Not Qualify for Loan
7,5,0,52581,35,27048,237346,5,60,5,Not Qualify for Loan
8,2,1,141971,48,175681,137893,0,91,13,Qualify for Loan
13,3,1,71348,53,51177,185832,1,74,3,Qualify for Loan
9,10,0,58831,38,16044,35469,8,52,1,Not Qualify for Loan
17,0,1,134776,32,235917,154092,1,86,3,Qualify for Loan
3,12,0,10112,31,19581,89722,6,46,3,Not Qualify for Loan
16,0,1,146022,52,198226,110058,0,71,14,Qualify for Loan
13,1,1,131878,25,165700,126559,1,75,5,Qualify for Loan
9,16,0,20225,40,41974,184268,9,57,4,Not Qualify for Loan
2,10,1,41116,28,48406,186498,6,30,0,Not Qualify for Loan
15,5,1,70651,51,98777,198066,1,88,2,Qualify for Loan
14,7,1,63408,45,286348,181208,1,88,14,Qualify for Loan
12,0,1,100428,45,109353,163132,0,90,3,Qualify for Loan
5,15,0,39179,35,6644,131154,7,57,5,Not Qualify for Loan
0,10,1,48437,35,30746,105403,4,50,2,Not Qualify for Loan
14,7,1,73380,52,67071,70074,0,73,7,Qualify for Loan
2,14,1,14857,36,340,205021,8,63,4,Not Qualify for Loan
19,4,1,148821,35,77044,117260,0,93,4,Qualify for Loan
8,5,0,48663,30,23499,249648,2,39,3,Not Qualify for Loan
8,13,1,27764,21,17674,113560,9,22,2,Not Qualify for Loan
11,5,1,113523,40,144476,67019,1,99,4,Qualify for Loan
19,3,1,113770,40,208038,128714,0,82,6,Qualify for Loan
10,4,1,43642,53,209073,84064,0,80,6,Qualify for Loan
14,3,1,172632,37,133186,173629,1,82,9,Qualify for Loan
19,7,1,131353,54,145648,75556,0,89,3,Qualify for Loan
2,11,1,38138,24,41732,134797,7,51,1,Not Qualify for Loan
2,7,1,46159,41,5951,117388,9,30,0,Not Qualify for Loan
9,2,1,67350,41,144297,75351,0,95,11,Qualify for Loan
6,8,1,30936,30,23303,57606,2,27,4,Not Qualify for Loan
12,3,1,56023,27,117221,114820,1,93,13,Qualify for Loan
